,ID,entrez_id
1092,DB00155,23564
1093,DB00155,
1094,DB00155,23576
1095,DB00155,5009
1096,DB00155,4842
1097,DB00155,4843
1098,DB00155,4846
1099,DB00155,353238
1100,DB00155,29943
1101,DB00155,51702
1102,DB00155,11240
1103,DB00155,23569
1104,DB00155,9356
1105,DB00156,79896
1106,DB00156,
1107,DB00156,80222
1108,DB00156,117247
1109,DB00157,7358
1110,DB00157,124
1111,DB00157,6652
1112,DB00157,127
1113,DB00157,126
1114,DB00157,125
1115,DB00157,131
1116,DB00157,2819
1117,DB00157,160287
1118,DB00157,128
1119,DB00157,231
1120,DB00157,3028
1121,DB00157,4191
1122,DB00157,3939
1123,DB00157,4200
1124,DB00157,3295
1125,DB00157,92483
1126,DB00157,3948
1127,DB00157,3945
1128,DB00157,1962
1129,DB00157,3033
1130,DB00157,10873
1131,DB00157,622
1132,DB00157,4190
1133,DB00157,11112
1134,DB00157,3293
1135,DB00157,3156
1136,DB00157,4199
1137,DB00157,26227
1138,DB00157,51478
1139,DB00157,3421
1140,DB00157,3420
1141,DB00157,3419
1142,DB00157,3292
1143,DB00157,3294
1144,DB00157,5959
1145,DB00157,9563
1146,DB00157,7923
1147,DB00157,1109
1148,DB00157,3615
1149,DB00157,8644
1150,DB00157,3248
1151,DB00157,7264
1152,DB00157,1645
1153,DB00157,3290
1154,DB00157,3284
1155,DB00157,3283
1156,DB00157,3614
1157,DB00157,3030
1158,DB00157,217
1159,DB00157,3291
1160,DB00157,1646
1161,DB00157,50814
1162,DB00157,222
1163,DB00157,4329
1164,DB00157,218
1165,DB00157,216
1166,DB00157,26330
1167,DB00157,223
1168,DB00157,220
1169,DB00157,219
1170,DB00157,221
1171,DB00157,2597
1172,DB00157,8854
1173,DB00157,224
1174,DB00157,7915
1175,DB00157,501
1176,DB00157,645
1177,DB00157,29920
1178,DB00157,5831
1179,DB00157,2746
1180,DB00157,5162
1181,DB00157,5161
1182,DB00157,5160
1183,DB00157,644
1184,DB00157,35
1185,DB00157,1719
1186,DB00157,4967
1187,DB00157,2747
1188,DB00157,1717
1189,DB00157,4835
1190,DB00157,
1191,DB00157,10157
1192,DB00157,
1193,DB00157,374291
1194,DB00157,4522
1195,DB00157,10797
1196,DB00157,8659
1197,DB00157,1727
1198,DB00157,126328
1199,DB00157,
1200,DB00157,5860
1201,DB00157,
1202,DB00157,23530
1203,DB00157,4698
1204,DB00157,4704
1205,DB00157,
1206,DB00157,4705
1207,DB00157,4701
1208,DB00157,4694
1209,DB00157,
1210,DB00157,
1211,DB00157,4697
1212,DB00157,4700
1213,DB00157,4706
1214,DB00157,4695
1215,DB00157,4702
1216,DB00157,4696
1217,DB00157,4714
1218,DB00157,4718
1219,DB00157,4707
1220,DB00157,4719
1221,DB00157,4716
1222,DB00157,4710
1223,DB00157,4709
1224,DB00157,4708
1225,DB00157,4713
1226,DB00157,4715
1227,DB00157,4720
1228,DB00157,4711
1229,DB00157,4717
1230,DB00157,4712
1231,DB00157,4731
1232,DB00157,1738
1233,DB00157,4722
1234,DB00157,2936
1235,DB00157,55967
1236,DB00157,4725
1237,DB00157,4724
1238,DB00157,4723
1239,DB00157,4729
1240,DB00157,51079
1241,DB00157,1036
1242,DB00157,4726
1243,DB00157,56901
1244,DB00157,4728
1245,DB00157,1579
1246,DB00157,1737
1247,DB00157,275
1248,DB00157,6307
1249,DB00157,3162
1250,DB00157,3163
1251,DB00157,1586
1252,DB00157,7299
1253,DB00157,7498
1254,DB00157,316
1255,DB00157,130
1256,DB00157,10327
1257,DB00157,124
1258,DB00157,125
1259,DB00157,127
1260,DB00157,128
1261,DB00157,131
1262,DB00158,2352
1263,DB00158,2350
1264,DB00158,2348
1265,DB00158,8836
1266,DB00158,4524
1267,DB00158,1719
1268,DB00158,85320
1269,DB00158,8714
1270,DB00158,9356
1271,DB00158,10257
1272,DB00158,9429
1273,DB00158,113235
1274,DB00158,81034
1275,DB00159,5743
1276,DB00159,5742
1277,DB00159,5468
1278,DB00159,5467
1279,DB00159,3992
1280,DB00159,2182
1281,DB00159,2181
1282,DB00159,2864
1283,DB00159,6546
1284,DB00159,7442
1285,DB00159,5465
1286,DB00159,2173
1287,DB00159,213
1288,DB00160,189
1289,DB00160,18
1290,DB00160,8942
1291,DB00160,57505
1292,DB00160,85007
1293,DB00160,84706
1294,DB00160,2875
1295,DB00160,9054
1296,DB00160,206358
1297,DB00160,23428
1298,DB00160,64902
1299,DB00160,
1300,DB00160,6509
1301,DB00160,117247
1302,DB00161,5096
1303,DB00161,586
1304,DB00161,
1305,DB00161,
1306,DB00161,5096
1307,DB00161,586
1308,DB00161,117247
1309,DB00162,145226
1310,DB00162,9249
1311,DB00162,220
1312,DB00162,54884
1313,DB00162,51109
1314,DB00162,10901
1315,DB00162,57665
1316,DB00162,50700
1317,DB00162,9227
1318,DB00162,5947
1319,DB00162,5959
1320,DB00162,112724
1321,DB00162,5949
1322,DB00162,8854
1323,DB00162,216
1324,DB00162,6017
1325,DB00162,347
1326,DB00162,27306
1327,DB00162,1543
